GUMA14,GUMERACHA C F S
GUMA34,GUMERACHA C F S
GUMF14,GUM FLAT C F S
GUMGC1,GUMERACHA C F S
GUMGC2,GUMERACHA C F S
GWLR34,GAWLER  RIVER C F S
HAHN24,HAHNDORF C F S
HAHNPUMP,HAHNDORF C F S
HAIN24,HAINES MACGILLIVRAY C F S
HAL20,HALLETT S E S
HAL29,HALLETT S E S
HALD34,HALIDON AND DISTRICTS C F S
HALG36,HALLETT C F S
HALG42,HALLETT C F S
HALGC1,HALLETT C F S
HAW20,HAWKER S E S
HAW29,HAWKER S E S
HAYF24,HAY FLAT C F S
HERM14,HERMITAGE C F S
HERM34,HERMITAGE C F S
HEYG42,LITTLEHAMPTON C F S
HEYGC1,MOUNT BARKER C F S
HEYGC2,MOUNT BARKER C F S
HEYGC3,MOUNT BARKER C F S
HIND24,HINDMARSH VALLEY C F S
HIND34,HINDMARSH VALLEY C F S
HINDA34,HINDMARSH VALLEY C F S
HLLT24,HALLETT C F S
HMLY19,HAMLEY BRIDGE C F S
HMLYQRV,HAMLEY BRIDGE C F S
HORG36,CLARE C F S
HORGC1,CLARE C F S
HOYL24,HOYLETON C F S
HPPY00,HAPPY VALLEY C F S
HPPY34P,HAPPY VALLEY C F S
HPPYPUMP,HAPPY VALLEY C F S
HPPYQRV,HAPPY VALLEY C F S
HWKR14,HAWKER C F S
HWKR34,HAWKER C F S
HYNM34,HYNAM C F S
INMN34,INMAN VALLEY C F S
IRBK24,IRON BANK C F S
IRBK34,IRON BANK C F S
IRKB14,IRON KNOB C F S
JABK34,JABUK C F S
JAME19,JAMESTOWN C F S
JAME28,JAMESTOWN C F S
JOAN34,WRATTONBULLY JOANNA C F S
JRVS34,JERVOIS C F S
JRVS42,JERVOIS C F S
KAD661,KADINA M F S
KALA34,KALANGADOO C F S
KANG00,KANGARILLA C F S
KANG24,KANGARILLA C F S
KANG34,KANGARILLA C F S
KANG42,MAWSON GROUP TANCKR
KAP641,KAPUNDA M F S
KAPD24P,KAPUNDA C F S
KAPD34,KAPUNDA C F S
KAPI34,KAPINNIE C F S
KARD19,KAROONDA C F S
KARD24,KAROONDA C F S
KARK24,KARKOO C F S
KDNA19,KADINA C F S
KDNA28,KADINA C F S
KDNA34,KADINA C F S
KEI20,KEITH S E S
KEI29,KEITH S E S
KEIL34,KEILIRA C F S
KEIT24,KEITH C F S
KEIT34P,KEITH C F S
KERS14,KERSBROOK C F S
KERS34,KERSBROOK C F S
KERSAS,KERSBROOK C F S
KEYN14,KEYNETON C F S
KEYNQRV,KEYNETON C F S
KIKI24,KI KI C F S
KIM20,KIMBA S E S
KIM29,KIMBA S E S
KIMB24,KIMBA C F S
KIMB34,KIMBA C F S
KING36,PORT MACDONNELL C F S
KINGC1,PORT MACDONNELL C F S
KIS20,KANGAROO ISLAND S E S
KIS29,KANGAROO ISLAND S E S
KISG34,KINGSCOTE C F S
KISG42,KINGSCOTE C F S
KISGA34,KINGSCOTE C F S
KISGB34,KINGSCOTE C F S
KISGC1,KINGSCOTE C F S
KISGC2,KINGSCOTE C F S
KISGC34,KINGSCOTE C F S
KISGD34,KINGSCOTE C F S
KISGE34,KINGSCOTE C F S
KLKM24,KULKAMI / MARAMA C F S
KNGC28,KINGSCOTE C F S
KNGC34,KINGSCOTE C F S
KNGC42,KINGSCOTE C F S
KNGG34,KONGORONG C F S
KNGL24,KONGAL C F S
KNGS28,KINGSTON C F S
KNGS34,KINGSTON C F S
KOOL24,KOOLUNGA C F S
KOPP24,KOPPIO C F S
KPU20,KAPUNDA S E S
KPU29,KAPUNDA S E S
KTN20,KINGSTON S E S
KTN29,KINGSTON S E S
KYBY34,KYBYBOLITE C F S
KYEG42,WILLUNGA C F S
KYEGC1,WILLUNGA C F S
KYEGC2,WILLUNGA C F S
LACG36,KINGSTON C F S
LACG42,KINGSTON C F S
LACGC1,KINGSTON C F S
LAMR19,LAMEROO C F S
LAMR28,LAMEROO C F S
LAMRC1,LAMEROO C F S
LANG24,LANGHORNE CREEK C F S
LANG34,LANGHORNE CREEK C F S
LAU20,LAURA S E S
LAU29,LAURA S E S
LAUR34,LAURA C F S
LCHB34,LOCHABER C F S
LCHL24,LOCHIEL C F S
LCK20,LEIGH CREEK S E S
LEIG24,LEIGH CREEK C F S
LENS14,LENSWOOD / FOREST RANGE C F S
LENS24,LENSWOOD / FOREST RANGE C F S
LEPG36,LINCOLN C F S
LEPGC1,LINCOLN C F S
LFFR24,LAFFER C F S
